Height,Timestamp,Size (bytes),Hash,Difficulty
144,2011-10-13 03:08:29,215,f667262f5f12788ace2e779e3bacfcf3e6dfe7d87a905de5dc58c21258e407a4,504365040
145,2011-10-13 03:08:34,215,4548f33799394ea787d2c674d2bba96e844490761e4314b3cf03c3439d436cdb,504365040
146,2011-10-13 03:08:37,215,e335f4f03d6813450dcc8b076e5b1a2919802b6119b26da4741a44224755365a,504365040
147,2011-10-13 03:08:41,215,4496765c8d981da3e96284f14e5ff09cd3fc561df6330b8b9c6644a4652a04a0,504365040
148,2011-10-13 03:08:44,215,8dc241ef6d4805b4fa54ccb13102236842bd87127e602abdbf6386cc9498407b,504365040
149,2011-10-13 03:08:46,215,748c70c78aef719c5f7e610f99e4d8be64881e93d85495f42a06280d3606369a,504365040
150,2011-10-13 03:08:47,215,5279cd5cdb1a19a327936764af1614c2003a4c67d440bc3b9d58f8832decc85f,504365040
151,2011-10-13 03:08:51,215,075e3ec4ea2bf2065d0aeca1bcb1cc2025f486f65025d7dc3fadc8bd5a808139,504365040
152,2011-10-13 03:08:53,215,64865f61ffaa3418ff361ef929af9e1dae8612a59067c60bda52f980d54272ab,504365040
153,2011-10-13 03:08:56,215,7acf9f9436a2b0f8cb099fdb8a94d852bab37bf5db477706ec097b84972d60fc,504365040
154,2011-10-13 03:08:57,215,0764a1a033bac2673835aa2c9e356d909592347ca91cd402b2f24c76fc34211b,504365040
155,2011-10-13 03:09:04,215,8ecab03254d9c491796c969f0eb7a06382498195dd3aacb2505efe98e3ea9aa2,504365040
156,2011-10-13 03:09:05,215,eff660ce8ea89d71ff738c1c31c3eae01ebbf83aa7b8985eab090e49b9ecc6e6,504365040
157,2011-10-13 03:09:07,215,701cd468eddaf72d2bf574f737ae08f8bd0b4c34a922f6b6c3dd9b6f257ee007,504365040
158,2011-10-13 03:09:10,215,6211329d506b641c9ca208f81e90d37bfb70367126a9ce9ba0130d287e4f6990,504365040
159,2011-10-13 03:09:14,215,3ef24c39cb5af94ecc1e41e0a0699167f78f51fa3d6b90d9c00107c6e9b07842,504365040
160,2011-10-13 03:09:18,215,e079a9ebc24f59fde58a98580037b74f0d72508a935c77404a084cd3329156cd,504365040
161,2011-10-13 03:09:21,215,b6b4df1b8fbcfc34f931f4c30aac3811057b0d27778bb5df9673d1f3596ec6fa,504365040
162,2011-10-13 03:09:21,215,1336d4b2e2e4569d2909b35a23347aa46191cb17b3b7552521b5ed4b6a272129,504365040
163,2011-10-13 03:09:27,215,213c6daf84c3b1b527381e1598783208d2f9ffa5b6434241b2882d020b63d4ee,504365040
164,2011-10-13 03:09:31,215,839c12da7f9c1cc8e9452260d3309a9964db5d95b221d1fcaf75427cbd733dcf,504365040
165,2011-10-13 03:09:36,215,53daa84d36e42cfb6592f960e61fe6b21618106fdbac4cb7887214f4f2af8b88,504365040
166,2011-10-13 03:09:40,215,4f61e1162af7ce3659e70df29b4501d722518d7c606e7314502873bef7322e00,504365040
167,2011-10-13 03:09:44,215,b4654fa265f56be3484b4d068d1c8dbf38a168e8a5eb5e8361167d5de97334ea,504365040
168,2011-10-13 03:09:47,215,1f2dba0386b2a9f827bac88d9c05231771c8a8743e7733b640c861c0c9899621,504365040
169,2011-10-13 03:09:51,215,e7df7e00c97d89f34fcd8c0c40f9c97b84d8fc550cdc34b9df1e8c0e271d26bc,504365040
170,2011-10-13 03:09:54,215,7a3ffc3523396abbb79c0b9cf645187a97172b6cf3bde3d31ea395b499912d3d,504365040
171,2011-10-13 03:09:56,215,dc8d15d7291612ba7bb1903dd4629b06269c3d91d4b3aabed400f00f68e30a31,504365040
172,2011-10-13 03:10:04,215,e60c43da100f5f029147f9fe48b04b545b4b8e5be151add3614fdc74a7d24d15,504365040
173,2011-10-13 03:10:05,215,f3bc20c9af1c4e75c22f8a71d5e44df1823a11c32689f4191c70a5dc31bf1a9a,504365040
174,2011-10-13 03:10:07,215,b71dea0d96c282aba65221e9c5101217fda41ab21a3b47281c6f934817d069c3,504365040
175,2011-10-13 03:10:12,215,1daa88963897559eb731f16481d10f5a84c7c415b389d07f46b8028d1edcde6c,504365040
176,2011-10-13 03:10:17,215,eac8e6a4fe35f69f5073192f6998b207316aab662d367bc0aba142dcdf2ff801,504365040
177,2011-10-13 03:10:19,215,c21a877580874b3a7b91c70abc37eb3432ff0d06979fea1a5152ea64b440e672,504365040
178,2011-10-13 03:10:27,215,29bd1f78b541e0d00fd496631b1ee808067cf4dd3e7c958889f7ba4710f94f1c,504365040
179,2011-10-13 03:10:30,215,a17893649491b3c2d7f9d4dfda62e269f67fec8f9ed0ab3aedcf7356a7c314c8,504365040
180,2011-10-13 03:10:29,215,54462fcb0c844e2c1f562984ce4539210cf61ddc0d7199c52464bee13a108063,504365040
181,2011-10-13 03:10:32,215,a44da9704761b13fb8e0cede99c52fc95478d741f44a0ce1fa3b552cd1bb925b,504365040
182,2011-10-13 03:10:36,215,11ca63ecc8493cd42667d49498052acfef2efffa8a220c0651b041261b71ae1f,504365040
183,2011-10-13 03:10:38,215,28af5c19e10b1f8dfebbfe2a382063ab4c77181e4ee3421593cc43a0019cd381,504365040
184,2011-10-13 03:10:46,215,1e6a2a12ebebde3d3ac10da8424f9cc961a9b84644406850f59a89b29c8c1b59,504365040
185,2011-10-13 03:10:49,215,ccc137309fd4dbacfef778f5c84a197524392362e7995a8cedaed19aaf5053d9,504365040
186,2011-10-13 03:10:52,215,6ef3360407c8f406843c3b1b6c62f6aedef5fef2dca8a20543b1d59cd854a189,504365040
187,2011-10-13 03:10:54,215,d4cfb7ed74f1722b4e5904793cb38dcb64b5f75f23cadf033c2ee7c35e0d14a7,504365040
188,2011-10-13 03:10:58,215,bebc7dcd2b648abfcbe469d1dd09a7d22c288a567a853cbb7c6ef1b8d4dadd8c,504365040
189,2011-10-13 03:11:01,215,87e576815f458adbeb3c439a9a6581b1d07a773fa360b4df8a55f12885e89bd9,504365040
190,2011-10-13 03:11:05,215,7467339a3375aa7dd90b4b3cdb607a6bb004d93a7a497acf523c9a1bc4b86249,504365040
191,2011-10-13 03:11:07,215,eaaa9289c507ea7d7621b558dfd21cc2f88e48ab51b17d995ba0b72187f26c67,504365040
192,2011-10-13 03:11:10,215,1fe1333f60a802bfe74dcb2a79c953225207cb9e33ba8977fbf07c072a0dd9b2,504365040
193,2011-10-13 03:11:12,215,4b1d9faa1b1a9007f9fab6e64bae3c0dd30a20698057794ed25a2312b2e0c30d,504365040
194,2011-10-13 03:11:16,215,c564a367f394752e8c3867590bb9f81fd895259f75fede7fac74d1a60ab7ac2c,504365040
